strain	galbut	day	replicate	number_alive	number_valid_flies
25197	TRUE	27	4	10	10
25197	TRUE	27	5	10	10
25197	TRUE	28	1	10	10
25197	TRUE	28	2	10	10
25197	TRUE	28	3	10	10
25197	TRUE	28	4	10	10
25197	TRUE	28	5	10	10
25197	TRUE	29	1	10	10
25197	TRUE	29	2	10	10
25197	TRUE	29	3	10	10
25197	TRUE	29	4	10	10
25197	TRUE	29	5	10	10
25197	TRUE	30	1	10	10
25197	TRUE	30	2	10	10
25197	TRUE	30	3	10	10
25197	TRUE	30	4	10	10
25197	TRUE	30	5	10	10
25197	TRUE	31	1	10	10
25197	TRUE	31	2	10	10
25197	TRUE	31	3	10	10
25197	TRUE	31	4	10	10
25197	TRUE	31	5	10	10
25197	TRUE	32	1	10	10
25197	TRUE	32	2	10	10
25197	TRUE	32	3	10	10
25197	TRUE	32	4	10	10
25197	TRUE	32	5	10	10
25197	TRUE	33	1	10	10
25197	TRUE	33	2	10	10
25197	TRUE	33	3	10	10
25197	TRUE	33	4	10	10
25197	TRUE	33	5	10	10
25197	TRUE	34	1	10	10
25197	TRUE	34	2	10	10
25197	TRUE	34	3	10	10
25197	TRUE	34	4	10	10
25197	TRUE	34	5	10	10
25197	TRUE	35	1	10	10
25197	TRUE	35	2	10	10
25197	TRUE	35	3	10	10
25197	TRUE	35	4	10	10
25197	TRUE	35	5	10	10
25197	TRUE	36	1	10	10
25197	TRUE	36	2	10	10
25197	TRUE	36	3	10	10
25197	TRUE	36	4	10	10
25197	TRUE	36	5	10	10
25197	TRUE	37	1	10	10
25197	TRUE	37	2	10	10
25197	TRUE	37	3	10	10
25197	TRUE	37	4	10	10
25197	TRUE	37	5	10	10
25197	TRUE	38	1	10	10
25197	TRUE	38	2	10	10
25197	TRUE	38	3	10	10
25197	TRUE	38	4	10	10
25197	TRUE	38	5	10	10
25197	TRUE	39	1	10	10
25197	TRUE	39	2	10	10
25197	TRUE	39	3	10	10
25197	TRUE	39	4	10	10
25197	TRUE	39	5	10	10
25197	TRUE	40	1	10	10
25197	TRUE	40	2	10	10
25197	TRUE	40	3	10	10
25197	TRUE	40	4	10	10
25197	TRUE	40	5	10	10
25197	TRUE	41	1	10	10
25197	TRUE	41	2	10	10
25197	TRUE	41	3	10	10
25197	TRUE	41	4	10	10
25197	TRUE	41	5	10	10
25197	TRUE	42	1	10	10
25197	TRUE	42	2	10	10
25197	TRUE	42	3	10	10
25197	TRUE	42	4	10	10
25197	TRUE	42	5	10	10
25197	TRUE	43	1	10	10
25197	TRUE	43	2	10	10
25197	TRUE	43	3	10	10
25197	TRUE	43	4	10	10
25197	TRUE	43	5	10	10
25197	TRUE	44	1	10	10
25197	TRUE	44	2	10	10
25197	TRUE	44	3	10	10
25197	TRUE	44	4	10	10
25197	TRUE	44	5	10	10
25197	TRUE	45	1	10	10
25197	TRUE	45	2	10	10
25197	TRUE	45	3	10	10
25197	TRUE	45	4	10	10
25197	TRUE	45	5	10	10
25197	TRUE	46	1	10	10
25197	TRUE	46	2	10	10
25197	TRUE	46	3	10	10
25197	TRUE	46	4	10	10
25197	TRUE	46	5	10	10
25197	TRUE	47	1	10	10
25197	TRUE	47	2	10	10
25197	TRUE	47	3	10	10
25197	TRUE	47	4	10	10
25197	TRUE	47	5	10	10
25197	TRUE	48	1	10	10
25197	TRUE	48	2	10	10
25197	TRUE	48	3	10	10
25197	TRUE	48	4	10	10
25197	TRUE	48	5	10	10
25197	TRUE	49	1	10	10
25197	TRUE	49	2	10	10
25197	TRUE	49	3	10	10
25197	TRUE	49	4	10	10
25197	TRUE	49	5	10	10
25197	TRUE	50	1	10	10
25197	TRUE	50	2	10	10
25197	TRUE	50	3	10	10
25197	TRUE	50	4	10	10
25197	TRUE	50	5	10	10
25197	TRUE	51	1	10	10
25197	TRUE	51	2	10	10
25197	TRUE	51	3	10	10
25197	TRUE	51	4	10	10
25197	TRUE	51	5	10	10
25197	TRUE	52	1	10	10
25197	TRUE	52	2	10	10
25197	TRUE	52	3	10	10
25197	TRUE	52	4	10	10
25197	TRUE	52	5	10	10
25197	TRUE	53	1	10	10
25197	TRUE	53	2	10	10
25197	TRUE	53	3	10	10
25197	TRUE	53	4	10	10
25197	TRUE	53	5	10	10
25197	TRUE	54	1	10	10
25197	TRUE	54	2	10	10
25197	TRUE	54	3	10	10
25197	TRUE	54	4	10	10
25197	TRUE	54	5	10	10
25197	TRUE	55	1	10	10
25197	TRUE	55	2	10	10
25197	TRUE	55	3	10	10
25197	TRUE	55	4	10	10
25197	TRUE	55	5	10	10
25197	TRUE	56	1	10	10
25197	TRUE	56	2	10	10
25197	TRUE	56	3	10	10
25197	TRUE	56	4	10	10
25197	TRUE	56	5	10	10
25197	TRUE	57	1	10	10
25197	TRUE	57	2	10	10
25197	TRUE	57	3	10	10
25197	TRUE	57	4	10	10
25197	TRUE	57	5	10	10
25197	TRUE	58	1	10	10
25197	TRUE	58	2	10	10
25197	TRUE	58	3	10	10
25197	TRUE	58	4	10	10
25197	TRUE	58	5	10	10
25197	TRUE	59	1	10	10
25197	TRUE	59	2	10	10
25197	TRUE	59	3	10	10
25197	TRUE	59	4	10	10
25197	TRUE	59	5	10	10
25197	TRUE	60	1	10	10
25197	TRUE	60	2	10	10
25197	TRUE	60	3	10	10
25197	TRUE	60	4	10	10
25197	TRUE	60	5	10	10
25197	TRUE	61	1	10	10
25197	TRUE	61	2	10	10
25197	TRUE	61	3	10	10
25197	TRUE	61	4	10	10
25197	TRUE	61	5	10	10
25197	TRUE	62	1	10	10
25197	TRUE	62	2	10	10
25197	TRUE	62	3	10	10
25197	TRUE	62	4	10	10
25197	TRUE	62	5	10	10
25197	TRUE	63	1	10	10
25197	TRUE	63	2	10	10
25197	TRUE	63	3	10	10
25197	TRUE	63	4	10	10
25197	TRUE	63	5	10	10
25197	TRUE	64	1	10	10
25197	TRUE	64	2	10	10
25197	TRUE	64	3	10	10
25197	TRUE	64	4	10	10
25197	TRUE	64	5	10	10
25197	TRUE	65	1	10	10
25197	TRUE	65	2	10	10
25197	TRUE	65	3	10	10
25197	TRUE	65	4	10	10
25197	TRUE	65	5	10	10
25197	TRUE	66	1	10	10
25197	TRUE	66	2	10	10
25197	TRUE	66	3	10	10
25197	TRUE	66	4	10	10
25197	TRUE	66	5	10	10
25197	TRUE	67	1	10	10
25197	TRUE	67	2	10	10
25197	TRUE	67	3	10	10
25197	TRUE	67	4	10	10
25197	TRUE	67	5	10	10
25197	TRUE	68	1	10	10
25197	TRUE	68	2	10	10
25197	TRUE	68	3	10	10
25197	TRUE	68	4	10	10
25197	TRUE	68	5	10	10
25197	TRUE	69	1	10	10
25197	TRUE	69	2	10	10
25197	TRUE	69	3	10	10
25197	TRUE	69	4	10	10
25197	TRUE	69	5	10	10
25197	TRUE	70	1	10	10
25197	TRUE	70	2	10	10
25197	TRUE	70	3	10	10
25197	TRUE	70	4	10	10
25197	TRUE	70	5	10	10
25197	TRUE	71	1	10	10
25197	TRUE	71	2	10	10
25197	TRUE	71	3	10	10
25197	TRUE	71	4	10	10
25197	TRUE	71	5	10	10
25197	TRUE	72	1	10	10
25197	TRUE	72	2	10	10
25197	TRUE	72	3	10	10
25197	TRUE	72	4	10	10
25197	TRUE	72	5	10	10
25197	TRUE	73	1	10	10
25197	TRUE	73	2	10	10
25197	TRUE	73	3	10	10
25197	TRUE	73	4	10	10
25197	TRUE	73	5	10	10
25197	FALSE	1	1	10	10
25197	FALSE	1	2	10	10
25197	FALSE	1	3	10	10
25197	FALSE	1	4	10	10
25197	FALSE	1	5	10	10
25197	FALSE	2	1	10	10
25197	FALSE	2	2	10	10
25197	FALSE	2	3	10	10
25197	FALSE	2	4	10	10
25197	FALSE	2	5	10	10
25197	FALSE	3	1	10	10
25197	FALSE	3	2	10	10
25197	FALSE	3	3	10	10
25197	FALSE	3	4	10	10
25197	FALSE	3	5	10	10
25197	FALSE	4	1	10	10
25197	FALSE	4	2	10	10
25197	FALSE	4	3	10	10
25197	FALSE	4	4	10	10
25197	FALSE	4	5	10	10
25197	FALSE	5	1	10	10
25197	FALSE	5	2	10	10
25197	FALSE	5	3	10	10
25197	FALSE	5	4	10	10
25197	FALSE	5	5	10	10
25197	FALSE	6	1	10	10
25197	FALSE	6	2	10	10
25197	FALSE	6	3	10	10
25197	FALSE	6	4	10	10
25197	FALSE	6	5	10	10
25197	FALSE	7	1	10	10
25197	FALSE	7	2	10	10
25197	FALSE	7	3	10	10
25197	FALSE	7	4	10	10
25197	FALSE	7	5	10	10
25197	FALSE	8	1	10	10
25197	FALSE	8	2	10	10
25197	FALSE	8	3	10	10
25197	FALSE	8	4	10	10
25197	FALSE	8	5	10	10
25197	FALSE	9	1	10	10
25197	FALSE	9	2	10	10
25197	FALSE	9	3	10	10
25197	FALSE	9	4	10	10
25197	FALSE	9	5	10	10
25197	FALSE	10	1	10	10
25197	FALSE	10	2	10	10
25197	FALSE	10	3	10	10
25197	FALSE	10	4	10	10
25197	FALSE	10	5	10	10
25197	FALSE	11	1	10	10
25197	FALSE	11	2	10	10
25197	FALSE	11	3	10	10
25197	FALSE	11	4	10	10
25197	FALSE	11	5	10	10
25197	FALSE	12	1	10	10
25197	FALSE	12	2	10	10
25197	FALSE	12	3	10	10
25197	FALSE	12	4	10	10
25197	FALSE	12	5	10	10
25197	FALSE	13	1	10	10
25197	FALSE	13	2	10	10
25197	FALSE	13	3	10	10
25197	FALSE	13	4	10	10
25197	FALSE	13	5	10	10
25197	FALSE	14	1	10	10
25197	FALSE	14	2	10	10
25197	FALSE	14	3	10	10
25197	FALSE	14	4	10	10
25197	FALSE	14	5	10	10
25197	FALSE	15	1	10	10
25197	FALSE	15	2	10	10
25197	FALSE	15	3	10	10
25197	FALSE	15	4	10	10
25197	FALSE	15	5	10	10
25197	FALSE	16	1	10	10
25197	FALSE	16	2	10	10
25197	FALSE	16	3	10	10
25197	FALSE	16	4	10	10
25197	FALSE	16	5	10	10
25197	FALSE	17	1	10	10
25197	FALSE	17	2	10	10
25197	FALSE	17	3	10	10
25197	FALSE	17	4	10	10
25197	FALSE	17	5	10	10
25197	FALSE	18	1	10	10
25197	FALSE	18	2	10	10
25197	FALSE	18	3	10	10
25197	FALSE	18	4	10	10
25197	FALSE	18	5	10	10
25197	FALSE	19	1	10	10
25197	FALSE	19	2	10	10
25197	FALSE	19	3	10	10
25197	FALSE	19	4	10	10
25197	FALSE	19	5	10	10
25197	FALSE	20	1	10	10
25197	FALSE	20	2	10	10
25197	FALSE	20	3	10	10
25197	FALSE	20	4	10	10
25197	FALSE	20	5	10	10
25197	FALSE	21	1	10	10
25197	FALSE	21	2	10	10
25197	FALSE	21	3	10	10
25197	FALSE	21	4	10	10
25197	FALSE	21	5	10	10
25197	FALSE	22	1	10	10
25197	FALSE	22	2	10	10
25197	FALSE	22	3	10	10
25197	FALSE	22	4	10	10
25197	FALSE	22	5	10	10
25197	FALSE	23	1	10	10
25197	FALSE	23	2	10	10
25197	FALSE	23	3	10	10
25197	FALSE	23	4	10	10
25197	FALSE	23	5	10	10
25197	FALSE	24	1	10	10
25197	FALSE	24	2	10	10
25197	FALSE	24	3	10	10
25197	FALSE	24	4	10	10
25197	FALSE	24	5	10	10
25197	FALSE	25	1	10	10
25197	FALSE	25	2	10	10
25197	FALSE	25	3	10	10
25197	FALSE	25	4	10	10
25197	FALSE	25	5	10	10
25197	FALSE	26	1	10	10
25197	FALSE	26	2	10	10
25197	FALSE	26	3	10	10
25197	FALSE	26	4	10	10
25197	FALSE	26	5	10	10
25197	FALSE	27	1	10	10
25197	FALSE	27	2	10	10
25197	FALSE	27	3	10	10
25197	FALSE	27	4	10	10
25197	FALSE	27	5	10	10
25197	FALSE	28	1	10	10
25197	FALSE	28	2	10	10
25197	FALSE	28	3	10	10
25197	FALSE	28	4	10	10
25197	FALSE	28	5	10	10
25197	FALSE	29	1	10	10
25197	FALSE	29	2	10	10
25197	FALSE	29	3	10	10
25197	FALSE	29	4	10	10
25197	FALSE	29	5	10	10
25197	FALSE	30	1	10	10
25197	FALSE	30	2	10	10
25197	FALSE	30	3	10	10
25197	FALSE	30	4	10	10
25197	FALSE	30	5	10	10
25197	FALSE	31	1	10	10
25197	FALSE	31	2	10	10
25197	FALSE	31	3	10	10
25197	FALSE	31	4	10	10
25197	FALSE	31	5	10	10
25197	FALSE	32	1	10	10
25197	FALSE	32	2	10	10
25197	FALSE	32	3	10	10
25197	FALSE	32	4	10	10
25197	FALSE	32	5	10	10
25197	FALSE	33	1	10	10
25197	FALSE	33	2	10	10
25197	FALSE	33	3	10	10
25197	FALSE	33	4	10	10
25197	FALSE	33	5	10	10
25197	FALSE	34	1	10	10
25197	FALSE	34	2	10	10
25197	FALSE	34	3	10	10
25197	FALSE	34	4	10	10
25197	FALSE	34	5	10	10
25197	FALSE	35	1	10	10
25197	FALSE	35	2	10	10
25197	FALSE	35	3	10	10
25197	FALSE	35	4	10	10
25197	FALSE	35	5	10	10
25197	FALSE	36	1	10	10
25197	FALSE	36	2	10	10
25197	FALSE	36	3	10	10
25197	FALSE	36	4	10	10
25197	FALSE	36	5	10	10
25197	FALSE	37	1	10	10
25197	FALSE	37	2	10	10
25197	FALSE	37	3	10	10
25197	FALSE	37	4	10	10
25197	FALSE	37	5	10	10
25197	FALSE	38	1	10	10
25197	FALSE	38	2	10	10
25197	FALSE	38	3	10	10
25197	FALSE	38	4	10	10
25197	FALSE	38	5	10	10
25197	FALSE	39	1	10	10
25197	FALSE	39	2	10	10
25197	FALSE	39	3	10	10
25197	FALSE	39	4	10	10
25197	FALSE	39	5	10	10
25197	FALSE	40	1	10	10
25197	FALSE	40	2	10	10
25197	FALSE	40	3	10	10
25197	FALSE	40	4	10	10
25197	FALSE	40	5	10	10
25197	FALSE	41	1	10	10
25197	FALSE	41	2	10	10
25197	FALSE	41	3	10	10
25197	FALSE	41	4	10	10
25197	FALSE	41	5	10	10
25197	FALSE	42	1	10	10
25197	FALSE	42	2	10	10
25197	FALSE	42	3	10	10
25197	FALSE	42	4	10	10
25197	FALSE	42	5	10	10
25197	FALSE	43	1	10	10
25197	FALSE	43	2	10	10
25197	FALSE	43	3	10	10
25197	FALSE	43	4	10	10
25197	FALSE	43	5	10	10
25197	FALSE	44	1	10	10
25197	FALSE	44	2	10	10
25197	FALSE	44	3	10	10
25197	FALSE	44	4	10	10
25197	FALSE	44	5	10	10
25197	FALSE	45	1	10	10
25197	FALSE	45	2	10	10
25197	FALSE	45	3	10	10
25197	FALSE	45	4	10	10
25197	FALSE	45	5	10	10
25197	FALSE	46	1	10	10
25197	FALSE	46	2	10	10
25197	FALSE	46	3	10	10
25197	FALSE	46	4	10	10
25197	FALSE	46	5	10	10
25197	FALSE	47	1	10	10
25197	FALSE	47	2	10	10
25197	FALSE	47	3	10	10
25197	FALSE	47	4	10	10
25197	FALSE	47	5	10	10
25197	FALSE	48	1	10	10
25197	FALSE	48	2	10	10
25197	FALSE	48	3	10	10
25197	FALSE	48	4	10	10
25197	FALSE	48	5	10	10
25197	FALSE	49	1	10	10
25197	FALSE	49	2	10	10
25197	FALSE	49	3	10	10
25197	FALSE	49	4	10	10
25197	FALSE	49	5	10	10
25197	FALSE	50	1	10	10
25197	FALSE	50	2	10	10
25197	FALSE	50	3	10	10
25197	FALSE	50	4	10	10
25197	FALSE	50	5	10	10
25197	FALSE	51	1	10	10
25197	FALSE	51	2	10	10
25197	FALSE	51	3	10	10
25197	FALSE	51	4	10	10
25197	FALSE	51	5	10	10
25197	FALSE	52	1	10	10
25197	FALSE	52	2	10	10
25197	FALSE	52	3	10	10
25197	FALSE	52	4	10	10
25197	FALSE	52	5	10	10
25197	FALSE	53	1	10	10
25197	FALSE	53	2	10	10
25197	FALSE	53	3	10	10
25197	FALSE	53	4	10	10
25197	FALSE	53	5	10	10
25197	FALSE	54	1	10	10
25197	FALSE	54	2	10	10
25197	FALSE	54	3	10	10
25197	FALSE	54	4	10	10
25197	FALSE	54	5	10	10
25197	FALSE	55	1	10	10
25197	FALSE	55	2	10	10
25197	FALSE	55	3	10	10
25197	FALSE	55	4	10	10
25197	FALSE	55	5	10	10
25197	FALSE	56	1	10	10
25197	FALSE	56	2	10	10
25197	FALSE	56	3	10	10
25197	FALSE	56	4	10	10
25197	FALSE	56	5	10	10
25197	FALSE	57	1	10	10
25197	FALSE	57	2	10	10
25197	FALSE	57	3	10	10
25197	FALSE	57	4	10	10
25197	FALSE	57	5	10	10
25197	FALSE	58	1	10	10
25197	FALSE	58	2	10	10
25197	FALSE	58	3	10	10
25197	FALSE	58	4	10	10
25197	FALSE	58	5	10	10
25197	FALSE	59	1	10	10
25197	FALSE	59	2	10	10
25197	FALSE	59	3	10	10
25197	FALSE	59	4	10	10
25197	FALSE	59	5	10	10
25197	FALSE	60	1	10	10
25197	FALSE	60	2	10	10
25197	FALSE	60	3	10	10
25197	FALSE	60	4	10	10
25197	FALSE	60	5	10	10
25197	FALSE	61	1	10	10
25197	FALSE	61	2	10	10
25197	FALSE	61	3	10	10
25197	FALSE	61	4	10	10
25197	FALSE	61	5	10	10
25197	FALSE	62	1	10	10
25197	FALSE	62	2	10	10
25197	FALSE	62	3	10	10
25197	FALSE	62	4	10	10
25197	FALSE	62	5	10	10
25197	FALSE	63	1	10	10
25197	FALSE	63	2	10	10
25197	FALSE	63	3	10	10
25197	FALSE	63	4	10	10
25197	FALSE	63	5	10	10
25197	FALSE	64	1	10	10
25197	FALSE	64	2	10	10
25197	FALSE	64	3	10	10
25197	FALSE	64	4	10	10
25197	FALSE	64	5	10	10
25197	FALSE	65	1	10	10
25197	FALSE	65	2	10	10
25197	FALSE	65	3	10	10
25197	FALSE	65	4	10	10
25197	FALSE	65	5	10	10
25197	FALSE	66	1	10	10
25197	FALSE	66	2	10	10
25197	FALSE	66	3	10	10
25197	FALSE	66	4	10	10
25197	FALSE	66	5	10	10
25197	FALSE	67	1	10	10
25197	FALSE	67	2	10	10
25197	FALSE	67	3	10	10
25197	FALSE	67	4	10	10
25197	FALSE	67	5	10	10
25197	FALSE	68	1	10	10
25197	FALSE	68	2	10	10
25197	FALSE	68	3	10	10
25197	FALSE	68	4	10	10
25197	FALSE	68	5	10	10
25197	FALSE	69	1	10	10
25197	FALSE	69	2	10	10
25197	FALSE	69	3	10	10
25197	FALSE	69	4	10	10
25197	FALSE	69	5	10	10
25197	FALSE	70	1	10	10
25197	FALSE	70	2	10	10
25197	FALSE	70	3	10	10
25197	FALSE	70	4	10	10
25197	FALSE	70	5	10	10
25197	FALSE	71	1	10	10
25197	FALSE	71	2	10	10
25197	FALSE	71	3	10	10
25197	FALSE	71	4	10	10
25197	FALSE	71	5	10	10
25197	FALSE	72	1	10	10
25197	FALSE	72	2	10	10
25197	FALSE	72	3	10	10
25197	FALSE	72	4	10	10
25197	FALSE	72	5	10	10
25197	FALSE	73	1	10	10
25197	FALSE	73	2	10	10
25197	FALSE	73	3	10	10
25197	FALSE	73	4	10	10
25197	FALSE	73	5	10	10
