strain	galbut	day	replicate	number_alive	number_valid_flies
25192	TRUE	35	4	7	7
25192	TRUE	35	5	7	10
25192	TRUE	36	1	8	10
25192	TRUE	36	2	10	10
25192	TRUE	36	3	9	10
25192	TRUE	36	4	7	7
25192	TRUE	36	5	7	10
25192	TRUE	37	1	8	10
25192	TRUE	37	2	10	10
25192	TRUE	37	3	9	10
25192	TRUE	37	4	7	7
25192	TRUE	37	5	7	10
25192	TRUE	38	1	8	10
25192	TRUE	38	2	10	10
25192	TRUE	38	3	9	10
25192	TRUE	38	4	7	7
25192	TRUE	38	5	7	10
25192	TRUE	39	1	8	10
25192	TRUE	39	2	7	10
25192	TRUE	39	3	8	10
25192	TRUE	39	4	7	7
25192	TRUE	39	5	7	10
25192	TRUE	40	1	8	10
25192	TRUE	40	2	7	10
25192	TRUE	40	3	8	10
25192	TRUE	40	4	7	7
25192	TRUE	40	5	7	10
25192	TRUE	41	1	8	10
25192	TRUE	41	2	7	10
25192	TRUE	41	3	8	10
25192	TRUE	41	4	7	7
25192	TRUE	41	5	7	10
25192	TRUE	42	1	4	10
25192	TRUE	42	2	7	10
25192	TRUE	42	3	7	10
25192	TRUE	42	4	7	7
25192	TRUE	42	5	7	10
25192	TRUE	43	1	4	10
25192	TRUE	43	2	7	10
25192	TRUE	43	3	7	10
25192	TRUE	43	4	7	7
25192	TRUE	43	5	7	10
25192	TRUE	44	1	4	10
25192	TRUE	44	2	7	10
25192	TRUE	44	3	6	10
25192	TRUE	44	4	6	7
25192	TRUE	44	5	6	10
25192	TRUE	45	1	3	10
25192	TRUE	45	2	7	10
25192	TRUE	45	3	5	10
25192	TRUE	45	4	5	7
25192	TRUE	45	5	6	10
25192	TRUE	46	1	3	10
25192	TRUE	46	2	7	10
25192	TRUE	46	3	5	10
25192	TRUE	46	4	5	7
25192	TRUE	46	5	4	10
25192	TRUE	47	1	3	10
25192	TRUE	47	2	7	10
25192	TRUE	47	3	4	10
25192	TRUE	47	4	5	7
25192	TRUE	47	5	4	10
25192	TRUE	48	1	3	10
25192	TRUE	48	2	7	10
25192	TRUE	48	3	4	10
25192	TRUE	48	4	4	7
25192	TRUE	48	5	4	10
25192	TRUE	49	1	3	10
25192	TRUE	49	2	7	10
25192	TRUE	49	3	4	10
25192	TRUE	49	4	4	7
25192	TRUE	49	5	4	10
25192	TRUE	50	1	2	10
25192	TRUE	50	2	3	10
25192	TRUE	50	3	4	10
25192	TRUE	50	4	4	7
25192	TRUE	50	5	4	10
25192	TRUE	51	1	2	10
25192	TRUE	51	2	3	10
25192	TRUE	51	3	4	10
25192	TRUE	51	4	1	7
25192	TRUE	51	5	3	10
25192	TRUE	52	1	2	10
25192	TRUE	52	2	3	10
25192	TRUE	52	3	4	10
25192	TRUE	52	4	1	7
25192	TRUE	52	5	3	10
25192	TRUE	53	1	2	10
25192	TRUE	53	2	3	10
25192	TRUE	53	3	4	10
25192	TRUE	53	4	1	7
25192	TRUE	53	5	3	10
25192	TRUE	54	1	2	10
25192	TRUE	54	2	3	10
25192	TRUE	54	3	3	10
25192	TRUE	54	4	1	7
25192	TRUE	54	5	2	10
25192	TRUE	55	1	2	10
25192	TRUE	55	2	3	10
25192	TRUE	55	3	3	10
25192	TRUE	55	4	1	7
25192	TRUE	55	5	2	10
25192	TRUE	56	1	2	10
25192	TRUE	56	2	1	10
25192	TRUE	56	3	2	10
25192	TRUE	56	4	1	7
25192	TRUE	56	5	2	10
25192	TRUE	57	1	2	10
25192	TRUE	57	2	1	10
